norm_version,trial_id,family_index,item_id,event,reason,list_index,vignette,candidate_reason,question,scale
z_causal_norm_v1,table__E_plus__P,0,table,E_plus,P,0,There is a table in the meeting room. The table is heavy. The table was already laid out for the meeting. Mark helped Tom move the table to the middle of the room.,Because the table was heavy.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,table__E_plus__Z,0,table,E_plus,Z,1,There is a table in the meeting room. The table is heavy. The table was already laid out for the meeting. Mark helped Tom move the table to the middle of the room.,Because the table was already laid out for the meeting.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,table__E_minus__P,0,table,E_minus,P,2,There is a table in the meeting room. The table is heavy. The table was already laid out for the meeting. Mark helped Tom sit at the table at the end of the meeting.,Because the table was heavy.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,table__E_minus__Z,0,table,E_minus,Z,3,There is a table in the meeting room. The table is heavy. The table was already laid out for the meeting. Mark helped Tom sit at the table at the end of the meeting.,Because the table was already laid out for the meeting.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,mirror__E_plus__P,1,mirror,E_plus,P,1,There is a mirror in the hallway. The mirror is broken. The mirror was hanging at eye level. Ella stepped over the mirror on her way out.,Because the mirror was broken.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,mirror__E_plus__Z,1,mirror,E_plus,Z,2,There is a mirror in the hallway. The mirror is broken. The mirror was hanging at eye level. Ella stepped over the mirror on her way out.,Because the mirror was hanging at eye level.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,mirror__E_minus__P,1,mirror,E_minus,P,3,There is a mirror in the hallway. The mirror is broken. The mirror was hanging at eye level. Ella looked at the mirror on her way out.,Because the mirror was broken.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,mirror__E_minus__Z,1,mirror,E_minus,Z,0,There is a mirror in the hallway. The mirror is broken. The mirror was hanging at eye level. Ella looked at the mirror on her way out.,Because the mirror was hanging at eye level.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,bird__E_plus__P,2,bird,E_plus,P,2,There is a bird in the garden. The bird is noisy. The bird was perched in bright sunlight. Sarah listened to the bird all afternoon.,Because the bird was noisy.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,bird__E_plus__Z,2,bird,E_plus,Z,3,There is a bird in the garden. The bird is noisy. The bird was perched in bright sunlight. Sarah listened to the bird all afternoon.,Because the bird was perched in bright sunlight.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,bird__E_minus__P,2,bird,E_minus,P,0,There is a bird in the garden. The bird is noisy. The bird was perched in bright sunlight. Sarah painted the bird all afternoon.,Because the bird was noisy.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,bird__E_minus__Z,2,bird,E_minus,Z,1,There is a bird in the garden. The bird is noisy. The bird was perched in bright sunlight. Sarah painted the bird all afternoon.,Because the bird was perched in bright sunlight.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,rabbit__E_plus__P,3,rabbit,E_plus,P,3,There is a rabbit in the kitchen. The rabbit is hungry. The rabbit had been very playful that evening. Bob fed the rabbit when he got home.,Because the rabbit was hungry.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,rabbit__E_plus__Z,3,rabbit,E_plus,Z,0,There is a rabbit in the kitchen. The rabbit is hungry. The rabbit had been very playful that evening. Bob fed the rabbit when he got home.,Because the rabbit had been very playful that evening.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,rabbit__E_minus__P,3,rabbit,E_minus,P,1,There is a rabbit in the kitchen. The rabbit is hungry. The rabbit had been very playful that evening. Bob tickled the rabbit when he got home.,Because the rabbit was hungry.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,rabbit__E_minus__Z,3,rabbit,E_minus,Z,2,There is a rabbit in the kitchen. The rabbit is hungry. The rabbit had been very playful that evening. Bob tickled the rabbit when he got home.,Because the rabbit had been very playful that evening.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,chandelier__E_plus__P,4,chandelier,E_plus,P,0,There is a chandelier in the shop. The chandelier is large. The chandelier matched the dining room. Nina helped them lift the chandelier onto the counter.,Because the chandelier was large.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,chandelier__E_plus__Z,4,chandelier,E_plus,Z,1,There is a chandelier in the shop. The chandelier is large. The chandelier matched the dining room. Nina helped them lift the chandelier onto the counter.,Because the chandelier matched the dining room.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,chandelier__E_minus__P,4,chandelier,E_minus,P,2,There is a chandelier in the shop. The chandelier is large. The chandelier matched the dining room. Nina helped them choose the chandelier for the dining room.,Because the chandelier was large.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,chandelier__E_minus__Z,4,chandelier,E_minus,Z,3,There is a chandelier in the shop. The chandelier is large. The chandelier matched the dining room. Nina helped them choose the chandelier for the dining room.,Because the chandelier matched the dining room.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,apple__E_plus__P,5,apple,E_plus,P,1,There is an apple in the bowl. The apple is mouldy. The apple was part of a tasting test. Gregg spat out the apple straight away.,Because the apple was mouldy.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,apple__E_plus__Z,5,apple,E_plus,Z,2,There is an apple in the bowl. The apple is mouldy. The apple was part of a tasting test. Gregg spat out the apple straight away.,Because the apple was part of a tasting test.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,apple__E_minus__P,5,apple,E_minus,P,3,There is an apple in the bowl. The apple is mouldy. The apple was part of a tasting test. Gregg chewed the apple straight away.,Because the apple was mouldy.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,apple__E_minus__Z,5,apple,E_minus,Z,0,There is an apple in the bowl. The apple is mouldy. The apple was part of a tasting test. Gregg chewed the apple straight away.,Because the apple was part of a tasting test.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,scarf__E_plus__P,6,scarf,E_plus,P,2,There is a scarf in the chair. The scarf is warm. The scarf was blocking the seat. Josie put on the scarf before leaving the house.,Because the scarf was warm.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
z_causal_norm_v1,scarf__E_plus__Z,6,scarf,E_plus,Z,3,There is a scarf in the chair. The scarf is warm. The scarf was blocking the seat. Josie put on the scarf before leaving the house.,Because the scarf was blocking the seat.,How well does this reason explain why the event happened?,"1 = does not explain it at all, 7 = explains it completely"
